"neuron";"scanned.paper.id";"neuromorpho.name";"species";"area";"layer";"rotated";"archive";"original.type";"paper"
215;"";"C110300A1";"Rat";"Somatosensory";"II/III";FALSE;"Markram";"Basket cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
216;"";"2002-12-02-A-L23-dendax";"Rat";"Somatosensory";"II/III";FALSE;"Helmstaedter";"Not reported";"The relation between dendritic geometry, electrical excitability, and axonal projections of L2/3 Interneurons in rat barrel cortex."
217;"";"2001-09-18-C-L23-dendax";"Rat";"Somatosensory";"II/III";FALSE;"Helmstaedter";"Not reported";"The relation between dendritic geometry, electrical excitability, and axonal projections of L2/3 Interneurons in rat barrel cortex."
218;"lewis1990fig5N2";"";"Monkey";"Prefrontal";"IV";FALSE;NA;NA;NA
219;"";"C120501A1";"Rat";"Somatosensory";"II/III";FALSE;"Markram";"Double bouquet cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
220;"";"020315-3-ST";"Mouse";"Visual";"II/III";FALSE;"Yuste";"Somatostatin (SOM) containing cell";"Correlation between axonal morphologies and synaptic input kinetics of interneurons from mouse visual cortex"
221;"";"C190997A-I1";"Rat";"Somatosensory";"IV";FALSE;"Markram";"Martinotti cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
222;"";"020315-2-ST";"Mouse";"Visual";"V";FALSE;"Yuste";"Somatostatin (SOM) containing cell";"Correlation between axonal morphologies and synaptic input kinetics of interneurons from mouse visual cortex"
223;"";"C121097A-I1";"Rat";"Somatosensory";"II/III";FALSE;"Markram";"Martinotti cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
224;"";"Vn05302006-0-C";"Mouse";"Somatosensory";"not reported";FALSE;"Yuste";"Somatostatin (SOM) containing cell";"Two-photon photostimulation and imaging of neural circuits"
